index	#1 Label	#2 String	#2 String
148	1,1,3,3,3,0	Two shot in Paris, including traffic cop, as manhunt continues for #CharlieHebdo suspects|||||@NBCNews @MikeRodNews|||||@NBCNews It happen 1 hour ago, not very reactive, big issues with Data evaluation #sourcechecking #seriousinvestifation|||||@NBCNews|||||@NBCNews Theres also an explosion in a restaurant there.|||||@NBCNews @TODAYshow Pencils as 9-11? All the cartoon responses are cartoonists as victims. Where's the defiance?
149	1,1,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,3,1	Map shows industrial estate where 2 #CharlieHebdo suspects are holed up, surrounded by police|||||@BBCBreaking yes!!!!|||||@BBCBreaking bet there in aldi....nobody can resist the bargains in there @AldiCustCare|||||@BBCBreaking why aint the reporyers walking accross the grass to get closer instead od tryna get past the police?|||||@BBCBreaking now put it on live tv news!!!!|||||@BBCBreaking|||||@BBCBreaking least they're near an Aldi|||||@BBCBreaking You telling me that in a 40km motorway car chase involving a Peugeot 206 they couldn't be taken out?? Pathetic!!!|||||@BBCBreaking by any chance does that printing business actually print the Charlie Hebdo newspaper?|||||@BBCBreaking there's an aldi fucking everywhere these days|||||@BBCBreaking @AldiCustCare you're in the news again bro|||||@BBCBreaking @aqayehich follow through here|||||@BBCBreaking you catch them I will clean them in the name of Jesus!|||||@mrbillywhite @BBCBreaking Better than Tesco's though?|||||@BBCBreaking suggest you change 'martyr' themselves to 'kill themselves' in your TV news text - don't dignify them|||||@BBCBreaking Here is an so called Secular Indian Parliamentarian's thought.This party has ruled us for 60 years|||||@BBCBreaking Stick a scaffolding pole up their arses and set it in the ground with a camera on their faces to live-stream them slowly dying|||||@BBCBreaking Don't deny them their just reward, expadite dispatch ....., there's a small hitch though ..|||||@BBCBreaking. Prepared to die as martyrs.?  Wat a joke !  They are murdering heathens. They have no financial Jihadist support either. Odd !|||||@BBCBreaking|||||@NickK60 @BBCBreaking well said! The media can help here.|||||@FerrariCharlie @BBCBreaking coppers don't want to kill them.|||||@NickK60 @BBCBreaking well said.
150	1,0,3,3,3	Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous|||||Background see the French deep state.  @mjrharris|||||@mjrharris @CEMB_forum Then they must recruit some more cartoonists and continue publishing cartoons.|||||@mjrharris @chriscaple despicable cowardice. Sickening.|||||@mjrharris Terror HAS Religion IFTerrorists seek inspiration in it &amp;Religious leaders provide moral justification for their acts
151	1,0	DEVELOPING: Police pursuing #CharlieHebdo shooting suspects, helicopters deployed - LIVE FEED:|||||@RT_com found similar by @hempembassy here:~  entitled: 'Police raid cannabis crops'
152	1,1,1,3	BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo|||||@Independent How dreadful.|||||Nowhere is safe anymore? "@independent|||||@Independent why does one feel that this may have something to so with freedom of speech -
153	1,2,2,3,3,3,3,3,3,3,3,2,3,3	On Israeli TV, an Israeli woman speaks of her nephew,a mother with 6 month old baby, held hostage in the supermarket in Paris. #JeSuisJuif|||||@avitalleibovich link?|||||@AvitalLeibovich do you have a link?|||||@talziv @Channel2News|||||@AvitalLeibovich omg|||||@jessicaelgot @Channel2News - it was just live|||||@AvitalLeibovich @Channel2News thanks!|||||@AvitalLeibovich @RavDK|||||@AvitalLeibovich @tcwittes oh no, prayers for them.|||||@avitalleibovich @channel2news actually,|||||@AvitalLeibovich Praying.|||||@AvitalLeibovich I assume you mean niece?|||||@letsgoskatepool yes|||||If I were Jewish, I won't go to the demo beside Hamas' friends.@AvitalLeibovich @sbenayoun
154	1,3,0,3,2,3	France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses|||||MT @euronews France: 10 dead after shooting at HQ of satirical weekly #CharlieHebdo. If Zionists/Jews did this they'd be nuking Israel|||||@j0nathandavis They who? Stupid and partial opinions like this one only add noise to any debate.|||||@nanoSpawn Socialists, Antisemites, anti zionists - usual suspects|||||@euronews @TradeDesk_Steve A French crime of passion or another heathen moslem atrocity?|||||@euronews LOL. 5 million Muslims in France, what a disgrace. the french worm president and politicians killed them. tine for croissants now
155	1,3,3,3,3,2,1,3,3,3,1	Reports: #CharlieHebdo suspects killed|||||Damn, this is like a movie RT @HuffingtonPost Reports: #CharlieHebdo suspects killed|||||“@HuffingtonPost: Reports: #CharlieHebdo suspects killed ” superb simultaneous response by the French tactics unit.|||||@HuffingtonPost great news! No trial, no taxpayer money spent to support them.|||||@HuffingtonPost damnit!!! That's what those fuckers wanted!! Now they will be hailed as martyrs....|||||@HuffingtonPost Can you confirm the reports that those suspects were killed by French police?|||||@HuffingtonPost good.|||||@HuffingtonPost That's a good start|||||@HuffingtonPost They got Netanyahu's Mossad agents? GOOD. Don't fuck with the French -- they invented the guillotine!|||||@HuffingtonPost Chance lost to bring them to big trial and exposure to the world. A pitty they were not caught alive! Now they are martirs!|||||@HuffingtonPost Some good news!
156	1,1,1,3,3,2,1,3	#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP|||||“@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP ”|||||Et merde. “@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP ”|||||@AFPphoto I strongly condemn this terrorist attack as a Turkish Muslim.I love my Prophet.But my Prophet rejects terrorism.|||||Oh my God !!! RT @AFPphoto  #CharlieHebdo - 11 dead including 2 police in Paris shooting.|||||@galaturco @AFPphoto how do you know that the attackers were muslims?|||||“@AFPphoto: #CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP ” #tragedy|||||@babsmediabrissy , @lifegallery spotted your photo
157	1,1,3,1	French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market|||||MT @JulienPain French police publish photos of suspect in Montrouge shooting. Maybe the same people in Kosher market|||||@JulienPain @FRANCE24 faces of evil.|||||#AlQaedaYemen#CharlieHebdo connexion; policewoman; market@JulienPain: Police: Suspects Thurs Montrouge shooting
158	1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister  #Paris|||||@RT_com Sickening. Frenchmen must demand and election and voted FN to get those swine out of their country. This is a MUSLIM problem.|||||@RT_com #SendThemHome|||||@RT_com right one is inside the car|||||@RT_com maybe they should stop funding terrorists in Syria, Lybia etc. it blows back all the time. Remember Afghanistan in 80's|||||@RT_com OK 63 Drills Since 93 Where #Drill = Actual Terrorist #Attack #Waco Explosion|||||@RT_com not men, not human, these are Zealots, the same beasts Mosses used in the murder of 3 scores of ten when back from the mountain.|||||@ThePeopleRise @RT_com Islam does not condone such swine behavior or violence in anyway shape or form. Its a psychiatric problem,!|||||@RT_com All in the name of oil.|||||@RT_com  Just kill them.|||||@RT_com this is mossad|||||@RT_com did one of them drop his shoe? Surely catch those cunts|||||@RT_com just my 2 cents but URGENT is really not the best translation for СРОЧНО. just write “BREAKING” and we’d all be better off|||||@RT_com Great #travel post! Why Not post on  Proximity Based Travel Network?|||||@RT_com bastards|||||@RT_com 1000s of muslims russian ukranian &amp; africans die each day europeans dont care , why the world is so concerned with 12 french death|||||@RT_com 12 french death is not even worth discussing or spoken about compared to 100s which are killed by USA &amp; NATO bombing on daily basis
159	3,1,3,3,3,3,1,0,3	MORE: Official: gunman holding at least five hostages in Paris market has threatened to kill them if police approach:|||||@AP Locate more photograph here!|||||@AP Two words....political correctness....|||||@AP Sorry but does people probably will be dead by the end of the day as well as the Killers.|||||@AP chicken finally came home too roost... NATO.. started this in Afganistan....|||||@AP NATO is financing terror in India... thru pakistan.... a dose of their own medicine|||||“@AP: Official: gunman holding at least 5 hostages in Paris market has threatened to kill them if police approach: ”|||||@APThis is unbelievable!!! Complete failure of intelligence and security agencies!Did France become too liberal with the terrorists?|||||@AP "JE SUIS CHARLES" Wonder about the limits and rights ... destruction and death. Or is that blood man should drink to quench your maldad.
160	1,3,3,3,3,3,1,1	Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ” @EjmAlrai|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||FLASH: “@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||Young child far right. RT@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||@AFPphoto
161	1,1,0,3,1,3,3,3,3,3,3,3	French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:|||||“@ABC: French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: the face of cowards|||||“@ABC: French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:  ”catch him|||||@ABC Dead eyes.  No soul to these guys.|||||@ABC God's miracles are just inexplicable,who had imagined an executioner would leave his identity card at the crime scene|||||@ABC Face hidden but identity card left at the crime scene,if he was clever enough,he would have left it at home from the very onset|||||@abc look his face they are moeslim and they is vandals everywhere..shit moeslim.|||||@ABC the religion of peace at it again..|||||@ABC see what happens when you put down people.|||||@ABC there is #NoModerateIslam #EnoughIsEnough #JeSuisCharlie|||||@ABC Animals! Will they get their virgins in hell? Because, that's where they are going!|||||@ABC COWARDS less than humans
162	1,0,0,1,3,1,3,1,3,1,1,3,3,3,1,3,3,1,3,1	Police taking people out of #Paris grocery where hostages were being held.|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. ”|||||@cnnbrk Thank goodness! Is it possible for this to end with no more innocent lives lost?|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. ”|||||@cnnbrk The 6 are reported dead.|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held.|||||@cnnbrk hopefully the terrorist died a horrible painful tragic death. There is no pride or respect for martyrdom. #pathetic|||||@vega_shelly @cnnbrk fingers crossed|||||@cnnbrk the brother Kouachi are dead|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. ”|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. ” watching the news.|||||@cnnbrk Why do the "terrorists" look #mindcontrolled?|||||Thank G-d! RT @cnnbrk: Police taking people out of #Paris grocery where hostages were being held.|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. ” Prayers|||||@cnnbrk|||||@cnnbrk|||||@cnnbrk @cnni More workplace violence right, CNN?|||||“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. ” 🙏|||||@Telenieuws @cnnbrk|||||@Daroff 4 people reported dead of six hostages. Sounding worse . Thnx for updates &amp; links.
163	1,3,1,1,3,1,3,3,1,1,3,3	#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources)|||||@France24_en good|||||@France24_en @slone Great job!!|||||@CzechTV “@France24_en: #BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources)  http|||||@France24_en @Sonia_Dridi For the record this pic. is the other hostage site, the CharlieHebdo murderers were taken outside Paris: Dammartin|||||@France24_en: Both Charlie Hebdo suspects killed as police storm building (police sources)   #FB|||||@France24_en @SkidWillie Great News!!! Take no prisoners. These bastards need to be exterminated on sight|||||@France24_en @lsferguson sweet they are finally with Allah|||||@France24_en @JulianeMeyerK bad. They should have been captured alive for a proper trial.|||||@ensowi @France24_en Yes, but think it was too dangerous.|||||@France24_en|||||@Troy_Johnson @France24_en. Did they get those" BOYS "who lashed oUt against  the C.H. artist?
164	1,1,1,1,3,3,1,2,2,1,3	BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source|||||@Reuters #StopKillingInnocentPeople#FreePalestine#freeBurma#FreeSyria #FreeKashmir|||||@Reuters The horror continue.|||||“@Reuters: BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source” @jake_max|||||@Reuters And 2 or 3 people killed. Unconfirmed.|||||@Reuters 2 confirmed dead in shooting before he took hostages... @The_Smoking_Pen|||||“@Reuters: BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source” Mondo Cane!|||||@Reuters incident?|||||@Reuters Can you clarify - are the six hostages and one seriously wounded in addition to the reports of two killed?|||||@Reuters not in anyway justifying the violence but why the intentionally hurting of others believe? It doesn't make sense.|||||@mcgozzaman @Reuters BBC saying two dead in East Paris but at least five hostages still held in supermarket. Terrible.
165	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1	Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”Liberi!|||||RT @AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||RT"@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ” #Vincennes|||||🙏 RT "@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||Deep RT @AFPphoto Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ” second terrorist dead|||||MOOI. “@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”Schaut genau hin!|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”RT|||||PIC RT: “@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”|||||@afpphoto @mrjustinmac Oh those poor people, so glad they were freed.|||||Reféns sendo liberados RT @AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP ”
166	1,3,1,1	Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie|||||Beautiful: MT @tmpear courtesy of Banksy. #JeSuisCharlie  #France|||||+1 | @tmpear : "Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. ”|||||@tmpear @HenryEChang It is brilliant but it is not by Banksy its by @LucilleClerc
167	1,1,3,1,3,3,2,3	Charlie Hebdo shooting latest: 12 dead and gunmen still at large|||||Dua belas.RT @thei100: Charlie Hebdo shooting latest: 12 dead and gunmen still at large|||||@thei100 @Independent these fuckers thinking its a GTA heist mission|||||paris terrorist attack “@thei100: Charlie Hebdo shooting latest:12 dead&amp;gunmen still at large  ”|||||@thei100 @Karachiet good|||||@thei100 @Independent your readers love Muslim multiculturalism so they can look forward to this in the UK soon.|||||@WilliamDFoster9 @thei100 @Independent don't.|||||Horrible! “@thei100: Charlie Hebdo shooting latest: 12 dead and gunmen still at large  ”
168	1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,1,3,0	#CharlieHebdo suspects "prepared to die as martyrs", they tell police after making contact - French media|||||@BBCBreaking No martyrs there, just cowards.|||||@BBCBreaking I think you mean morons.|||||@BBCBreaking Good! Kill 'em and quickly! The 144 are getting frustrated beyond belief waiting for them both!|||||@BBCBreaking They should tell them, no you'll just die as murderers, not martyrs|||||@BBCBreaking  rubbish! Martyrs don't run away they should have faced consequences immediately.|||||@BBCBreaking please don't starting saying these guys are marters, they are cold blooded murderers, you are fuelling what they want!|||||@TrudiCTID Agreed. Relevant and timely clarification: martyrs are assassinated, they're not the assassins.|||||@darrenjames61 @BBCBreaking put them through a wood chipper.|||||@bbcbreaking I don't think these type of Muslims know what the word "martyr" means.|||||@JamesEsqLtd brainwashed!!|||||@BBCBreaking Just kill them. Nothing to see here, only cowards. Nothing lost.|||||@BBCBreaking stop saying this every 2 minutes ur gloryfyinh it... NO! They will die kicking and screaming the cowards they are not heros|||||@BBCBreaking @FCN2go|||||@BBCBreaking no - set them free in the streets of Paris &amp; give them a 30 second head start.|||||“@BBCBreaking #CharlieHebdo suspects "prepared to die as martyrs", they tell police after making contact. ” Previsível|||||.@BBCBreaking I hope they get their wish... @oliverdarcy|||||@SaeeinAhmad @BBCBreaking so if they’d stayed at the scene they would have been martyrs?|||||@BBCBreaking They wont be martyrs.A martyr dies because of their religion.These rats will be dying because they murdered a muslim and others|||||@Wend999 @BBCBreaking Punk Cowards|||||@bradydan @BBCBreaking they would still be murderers I don't think anyone can consider this martyrdom
169	1,3,1,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,1,3,1,1,3,3,3,0,2,3,2,3,3,1,3,3,3,1,3,0,3,3,0,1,2,3,2,3,3,3,3,3,3,1,3,2,2,3,3,2,3,1,0,3,3,2,0,0,3,0,3,3,3,3,2,0,3,1,3,3,3,2,1,3,0	It appears that #Ferguson PD are trying to assassinate Mike Brown's character after literally assassinating Mike Brown.|||||@flavius217 At least they are thorough.  @GenXMedia|||||@flavius217 @rui_xu How? They are giving info that the media asked for.|||||@jlpauk @flavius217 They are releasing irrelevant info that doesn't affect the case of Michael Brown's shooting|||||@rui_xu @jlpauk also wrong venues and in wrong order. After his summary execution in the street, they are trying him through the media.|||||@rui_xu @jlpauk @flavius217 What case? It's totally cool to shoot unarmed people suspected of a crime!|||||@spants @rui_xu @jlpauk @flavius217 and that is part of what's distressing. Police screw up and make bad decisions in any system.|||||@spants @rui_xu @jlpauk @flavius217 to have the Supreme Court declare open season for cops on the population is a deliberate decision.|||||@rui_xu @flavius217 They can't release shooting info cause they are still interviewing witnesses. Media wanted this info.|||||@rui_xu @flavius217 They can't tie the two together cause they are separate issues. Releasing at different times puts distance between them.|||||@flavius217 @rui_xu Are you saying they start at the end and don't explain why he was approached by cops?|||||@flavius217 I'm curious, had the suspect been white would the PD have acted the same?|||||@dissuade p sure you know the answer to that question.|||||@Tom_sveb @spants @rui_xu @flavius217 For you to declare he was executed without any facts is also as absurd.|||||@jlpauk @spants @rui_xu @flavius217 I don't think i did say that. I did criticize a Supreme Court decision I've read many times.|||||@jlpauk @spants @rui_xu @flavius217 and not releasing any facts is a real good way to make sure people pass judgment on the facts they have|||||@Tom_sveb @spants @rui_xu @flavius217 Not releasing facts about that shooting is also a way to make sure they get good info from witnesses.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 What they did today was also a good way to taint the jury pool.|||||@spants @jlpauk @Tom_sveb @rui_xu P MUCH|||||@flavius217 And that's the point. That's what people are upset about, I think.|||||@Tom_sveb @spants @rui_xu @flavius217 That's two different arguments.|||||@dissuade it's also pretty upsetting that a kid was summarily executed for maybe stealing a pack of cigars.|||||@jlpauk @spants @rui_xu @flavius217 they've systematically only released information that makes them look good, even info that might taint|||||@jlpauk @spants @rui_xu @flavius217 the investigation (e.g., that officer had a facial injury).|||||@flavius217 Agree. Not worth the bullets whatsoever.|||||@flavius217 @spants @Tom_sveb @rui_xu I don't understand the double standard of wanting all the info about the cop but Brown's past is safe.|||||@jlpauk @spants @rui_xu @flavius217 it is! I both argued that the Supreme Court was wrong . . .|||||@flavius217 Also per last press conf, local PD depts seem super disconnected and out of touch with African American community.|||||@jlpauk @spants @rui_xu @flavius217 and that suppressing or selectively releasing info led to people deciding for themselves.|||||@Tom_sveb @spants @rui_xu @flavius217 What other info do they have ready to release? All they have said is this is why we approached him.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 Why wasn't Dorian Johnson arrested if he was suspected of a robbery?|||||@dissuade I believe I read something like Ferguson is 29% white but the PD is 94% white.|||||@jlpauk @spants @rui_xu @flavius217 an investigative report on the shooting?|||||@flavius217 White or Black the biggest prob people have with police is the attitude from cops. We are a guilty till proven innocent society.|||||@dissuade strongly agree. I know policing is a terribly high-stress job, but most people are not criminals.|||||@flavius217 Perhaps they need to alter/improve their training.|||||@spants @Tom_sveb @rui_xu @flavius217 What they also did was chose to not ignore facts that call in to question the witness' credibility.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 He admitted they stole cigars to DOJ &amp; StL County PD. He wasn't charged b/c he didn't commit a crime.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 There are several witnesses. They don't all know each other and they're all saying the same things.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 You don't want to see what's happening? Fine. Keep being naive. Good day.|||||@spants @Tom_sveb @rui_xu @flavius217 I see a lot of people making assumptions with limited facts. We haven't even seen an autopsy report.|||||@spants @Tom_sveb @rui_xu @flavius217 Ok, so you get accounts from the community he lives in where people already have a distrust in police|||||@spants @Tom_sveb @rui_xu @flavius217 and you want to make a decision without any hard facts.|||||@jlpauk @spants @rui_xu @flavius217 why don't you check out the racial profiling statistics of the Ferguson PD? some real, hard facts.|||||@jlpauk @spants @rui_xu @flavius217 then tell me the people of Ferguson haven't EARNED some distrust.|||||@jlpauk @spants @rui_xu @flavius217 autopsy report SPOILER alert: died from multiple gunshot wounds|||||@Tom_sveb @spants @rui_xu @flavius217 That right there tells me you are going into this with an agenda.|||||@jlpauk @spants @rui_xu @flavius217 that I don't like racial profiling and think police should obey the law? That is definitely my agenda.|||||@Tom_sveb @spants @rui_xu @flavius217 Was he shot in the chest or back? From 35' away or 3' away? Which wounds came first?|||||@Tom_sveb @jlpauk @rui_xu @flavius217 LOL|||||@jlpauk @spants @rui_xu @flavius217 everyone agrees he was shot once at close range and multiple times at 30+ feet.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 They've already said he shot him once from the car. Christ.|||||@Tom_sveb @spants @rui_xu @flavius217 Right there you just admired they are all bad witnesses if they have distrusts in cops.|||||@flavius217 this turned out to be a very popular tweet|||||@Tom_sveb @spants @rui_xu @flavius217 No that you see this as a racial situation before you know anything.|||||@FortClank it sure did. A boon to my #brand|||||@spants @Tom_sveb @rui_xu @flavius217 If he was shot in the chest or back is the biggest factor in who is right.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 What? No it isn't. There is definitely no justification for deadly force once he was running.|||||@jlpauk @spants @rui_xu @flavius217 in your world, it's cool to shoot unarmed people in the chest, but not the back? Or vice versa?|||||@jlpauk @spants @rui_xu @flavius217 Rand Paul, yesterday:  "Anyone who thinks race does not skew the application of criminal justice in this|||||@jlpauk @spants @rui_xu @flavius217 country is just not paying close enough attention."|||||@spants @Tom_sveb @rui_xu @flavius217 If he was shot in the chest how was he running away?|||||@Tom_sveb @spants @rui_xu @flavius217 If he was shot in the back he was running away but shot in the chest he could have been charging.|||||@Tom_sveb @spants @rui_xu @flavius217 Anybody who uses it at every opportunity falsely weakens the message.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 Yeah, I would totally expect a kid that's been shot to run away, get shot again, and decide to charge.|||||@jlpauk @spants @rui_xu @flavius217 who says it's false? There's a large &amp; documented history of this PD arresting too many blacks.|||||@jlpauk @Tom_sveb @rui_xu @flavius217 Rand Paul used those words BECAUSE of this incident. Just fuck off dude. Fuck off so hard.|||||@spants @Tom_sveb @rui_xu @flavius217 Has that info came out yet?|||||@spants @Tom_sveb @rui_xu @flavius217 You're making an assumption about something based on other peoples actions, that's my point.|||||@jlpauk @spants @rui_xu @flavius217 confused how an unarmed person, charging, retreating, or standing still, is a threat to a cop 30' away|||||@Tom_sveb @jlpauk @rui_xu @flavius217 Simple: Mike Brown was Inspector Gadget.|||||@Tom_sveb @spants @rui_xu @flavius217 Did you see him stand 30' away and get shot? No. A few people who have a problem with cops did.|||||@jlpauk @Tom_sveb @spants @rui_xu do you not even have a basic understanding why people mistrust police?|||||@jlpauk @spants per chief belmar: "a shot was fired inside the car, and Brown was eventually shot about 35 feet away from the vehicle."|||||@jlpauk @spants @rui_xu @flavius217 that's an account FROM THE STL CO POLICE CHIEF|||||@jlpauk @spants @rui_xu @flavius217 I'm relying on details agreed upon by the police and the witnesses.|||||@Tom_sveb @flavius217 I blocked him, so you can leave me off the tweets. I won't see them, gives you more characters.|||||@flavius217 @Tom_sveb @spants @rui_xu I do, but do you have a basic understanding of the judicial system? Let's hear both sides then decide.|||||@spants @flavius217 ok|||||@Tom_sveb @spants And there was a struggle inside the car. How do we know Brown didn't get the gun and fire the shot during the struggle?|||||@jlpauk why would the ferguson PD and STLCO PD release the information they've released and fail to mention that?|||||@Tom_sveb @spants @rui_xu @flavius217 They didn't say who fired the shots in the car. The fact is we've only heard one side.|||||@jlpauk there's a difference between an open mind and an empty one|||||@jlpauk @Tom_sveb @spants @rui_xu dude, come on. This rogue cop apparently thought he was Judge Dredd and murdered an unarmed kid.|||||@flavius217 @Tom_sveb @spants @rui_xu So no matter that evidence comes out during the investigation that's what you're going with?|||||@Tom_sveb An open mind waits for all the facts then decides. An empty one makes a decision before the investigation is over.|||||@jlpauk @flavius217 @Tom_sveb @spants UNSUBSCRIBE
170	3,3,3,3,3,3,0,3,3,3,3,0,2,3,2,3,3,3,0,2	Possible "robbery" took place and BAM! Like magic it's as if another UNARMED black youth being murdered has been forgotten #smh #Ferguson|||||Possible "robbery" took place and BAM! Like magic it's as if another UNARMED black youth being murdered has been forgotten #smh #Ferguson|||||@YourAnonLive BAM ANTI-WHITES get caught with their foot in their mouth in front of the WORLD LMAO|||||@MrLewis915 anti-whites ? #lulz|||||@YourAnonLive A robbery doesn't excuse an execution style murder I don't give a fuck what anyone says. Swisher Sweets aren't worth a life.|||||@YourAnonLive don't make this a race issue. The militarization of the police is the issue|||||@YourAnonLive Good job, faggots. You IDd the wrong man.|||||@YourAnonLive yup Anti-Racist is a codeword for ANTI-WHITE|||||@hydroflame @YourAnonLive well put. There are bigger issues the masses are finally starting to see.|||||@hydroflame @YourAnonLive it STARTED as a race issue, then people tried to SWAY it to an issue of militarization, dont get it twisted|||||@YourAnonLive #SeeWhatTheyDidThere? #TheNarrativeHasChanged. From Murder in the 1st to a Gross Misdemeanor. #MyPeopleMyPeople|||||@YourAnonLive @OpFerguson Even if he had robbed a convenience store, that's no excuse for murder.|||||@YourAnonLive @OpFerguson No but it def softens the blow.|||||@MrLewis915 @hydroflame @YourAnonLive You realize police brutality affects all races right?|||||@MrsDowns @YourAnonLive  corny, but only TRUE evil wants Us to believe INERT OBJECTS are more valuable than LIFE!  --GBJ #thinkforyourself|||||@MrLewis915 @hydroflame @YourAnonLiveCan you imagine the shitstorm if this guy was black? Doubt U heard about it|||||@YourAnonLive it's not race were all targeted by the governments, cops, swat, FBI, they'll silence anyone who'll try to tell the truth|||||@MrsDowns @YourAnonLive Strong armed robbery, Assault on the store clerk, assaulting a police officer...and the info continues to come in.|||||@DesmondP2100 of course , however please do not try and compare it to hundreds of years of systemic oppression of a whole people|||||@MrLewis915 but because of the training that cops receive now is more military in manner they react overly aggressive towards us (non-cop)
